medallion, hack_license, vendor_id, pickup_datetime, payment_type, fare_amount, surcharge, mta_tax, tip_amount, tolls_amount, total_amount
2010009341,2010009331,VTS,2010-08-01 00:00:00,CSH,8.1,0.5,0.5,0,0,9.1
2010003556,2010003553,VTS,2010-08-01 00:00:00,CRD,4.9,0.5,0.5,1,0,6.9
2010002818,2010002817,VTS,2010-08-01 00:00:00,CSH,14.9,0.5,0.5,0,0,15.9
2010004292,2010004289,VTS,2010-08-01 00:00:00,CSH,12.9,0.5,0.5,0,0,13.9
2010008122,2010008113,VTS,2010-08-01 00:00:00,CRD,7.7,0.5,0.5,2,0,10.7
2010009103,2010017772,VTS,2010-08-01 00:00:00,CSH,12.9,0.5,0.5,0,0,13.9
2010007683,2010007675,VTS,2010-08-01 00:00:00,CSH,7.7,0.5,0.5,0,0,8.7
2010006240,2010006236,VTS,2010-08-01 00:00:00,CRD,6.1,0.5,0.5,0.5,0,7.6
2010010394,2010030447,VTS,2010-08-01 00:00:00,CSH,6.9,0.5,0.5,0,0,7.9
2010007999,2010007991,VTS,2010-08-01 00:00:00,CSH,20.1,0.5,0.5,0,0,21.1
2010004091,2010004088,VTS,2010-08-01 00:00:00,CRD,11.7,0.5,0.5,2,0,14.7
2010003207,2010028707,VTS,2010-08-01 00:00:00,CSH,31.3,0.5,0.5,0,0,32.3
2010010726,2010030977,VTS,2010-08-01 00:00:00,CSH,5.7,0.5,0.5,0,0,6.7
2010004249,2010012130,VTS,2010-08-01 00:00:00,CSH,5.3,0.5,0.5,0,0,6.3
2010001879,2010001879,VTS,2010-08-01 00:00:00,CRD,10.5,0.5,0.5,1,0,12.5
2010001689,2010004562,VTS,2010-08-01 00:00:00,CRD,7.7,0.5,0.5,1,0,9.7
2010008979,2010005991,VTS,2010-08-01 00:00:00,CSH,6.1,0.5,0.5,0,0,7.1
2010007889,2010031433,VTS,2010-08-01 00:00:00,CSH,4.9,0.5,0.5,0,0,5.9
2010007317,2010009800,VTS,2010-08-01 00:00:00,CSH,11.3,0.5,0.5,0,0,12.3
